City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Pressure,Cloudiness,Wind Speed,Country,Date
0,0,anadyr,64.75,177.4833,14.5,85,1031,40,8.95,RU,1728675771
1,1,ribeira grande,38.5167,-28.7,64.8,63,1016,40,1.99,PT,1728675773
2,2,yenagoa,4.9247,6.2642,76.3,94,1013,100,4.47,NG,1728675775
3,3,waitangi,-43.9535,-176.5597,49.82,83,1018,100,11.01,NZ,1728675778
4,4,adamstown,-25.066,-130.1015,70.45,87,1024,66,12.75,PN,1728675780
5,5,hami,42.8,93.45,64.58,22,1009,96,7.9,CN,1728675782
6,6,mount gambier,-37.8333,140.7667,42.48,91,1029,100,4.74,AU,1728675784
7,7,port-aux-francais,-49.35,70.2167,32.47,78,997,81,48.9,TF,1728675787
8,8,forio,40.7342,13.8646,67.42,87,1015,91,3.0,IT,1728675656
9,9,flying fish cove,-10.4217,105.6791,78.48,88,1010,100,10.36,CX,1728675768
10,10,constantia,44.1833,28.65,66.88,77,1009,100,5.19,RO,1728675876
11,11,yemva,62.59,50.8594,30.65,52,1032,100,10.69,RU,1728675662
12,12,port mathurin,-19.6833,63.4167,71.71,74,1021,100,26.24,MU,1728675879
13,13,bethel,41.3712,-73.414,69.03,42,1014,0,6.91,US,1728675880
14,14,puerto natales,-51.7236,-72.4875,52.25,54,995,75,16.11,CL,1728675669
15,15,wailua homesteads,22.0669,-159.378,79.59,92,1018,40,6.91,US,1728675882
16,16,isafjordur,66.0755,-23.124,27.16,75,1014,75,7.38,IS,1728675883
17,17,island harbour,50.724,-1.2758,53.92,75,1015,100,10.0,GB,1728675885
18,18,punta arenas,-53.15,-70.9167,51.91,54,992,75,19.57,CL,1728675886
19,19,nemuro,43.3236,145.575,49.95,72,1020,0,10.65,JP,1728675680
20,20,grytviken,-54.2811,-36.5092,33.85,82,995,48,8.21,GS,1728675888
21,21,albany,42.6001,-73.9662,65.64,49,1014,0,1.99,US,1728675889
22,22,tomatlan,19.9333,-105.25,90.01,62,1011,5,6.93,MX,1728675891
23,23,choma,-16.8065,26.9531,64.81,29,1019,0,2.91,ZM,1728675892
24,24,denia,38.8408,0.1057,71.94,55,1015,90,11.99,ES,1728675893
25,25,polyarnyy,69.1989,33.4478,46.71,91,995,100,20.18,RU,1728675894
26,26,laguna,38.421,-121.4238,79.65,46,1016,0,6.91,US,1728675696
27,27,gadani,25.1185,66.7299,81.5,80,1009,0,5.86,PK,1728675897
28,28,crane,31.3974,-102.3501,93.04,12,1015,0,16.73,US,1728675898
29,29,buka,40.8108,69.1986,59.34,43,1015,58,6.17,UZ,1728675703
30,30,fortuna,40.5982,-124.1573,70.93,55,1015,0,0.0,US,1728675900
31,31,siwa oasis,29.2041,25.5195,84.7,28,1013,0,2.21,EG,1728675902
32,32,saipan,15.1355,145.701,81.3,83,1010,0,4.61,MP,1728675903
33,33,vorgashor,67.5833,63.95,16.9,86,1034,100,7.23,RU,1728675904
34,34,zilair,52.2332,57.4392,24.1,79,1024,96,11.81,RU,1728675905
35,35,st. john's,47.5649,-52.7093,52.29,85,990,40,16.11,CA,1728675651
36,36,ushuaia,-54.8,-68.3,46.06,66,988,20,13.8,AR,1728675908
37,37,el granada,37.5027,-122.4694,71.02,68,1018,20,11.5,US,1728675909
38,38,invercargill,-46.4,168.35,47.55,73,1007,34,7.27,NZ,1728675910
39,39,guiuan,11.0333,125.7247,83.98,73,1009,100,6.08,PH,1728675725
40,40,pamandzi,-12.7967,45.2794,76.78,83,1016,0,3.44,YT,1728675727
41,41,mawu,34.4307,104.9176,43.75,97,1016,100,5.23,CN,1728675914
42,42,dunedin,-45.8742,170.5036,50.81,81,1008,52,1.99,NZ,1728675915
43,43,lazaro cardenas,17.9583,-102.2,84.72,72,1011,78,8.46,MX,1728675916
44,44,kodiak,57.79,-152.4072,45.91,93,982,100,39.12,US,1728675918
45,45,neryungri,56.6709,124.6491,24.08,79,1017,100,10.92,RU,1728675738
46,46,pisco,-13.7,-76.2167,71.02,82,1012,20,10.36,PE,1728675920
47,47,blackmans bay,-43.0167,147.3167,44.73,75,1026,7,1.01,AU,1728675922
48,48,salamanca,40.8333,-6.0,57.94,88,1010,100,15.86,ES,1728675923
49,49,cockburn town,21.4612,-71.1419,89.56,79,1012,40,13.8,TC,1728675828
